,Date,Name,Text,Hashtags
131,2020-06-27 18:29:03+00:00,nytimes,"A majority of American voters support demonstrations against police brutality and racial injustice, embracing central tenets of the Black Lives Matter movement, a new national poll shows ",
132,2020-06-22 11:30:05+00:00,nytimes,"Social media giants like Facebook publicly support Black Lives Matter and its mission. But content on their platforms may be compromising the movement for racial justice. Listen to today's episode of ""The Daily."" ",
133,2020-06-22 05:15:05+00:00,nytimes,"A Sheriff’s Office employee and an investigative assistant with the District Attorney’s Office in Ventura County, California, were among 3 people who have been arrested after they were caught on video damaging a roadside Black Lives Matter sign ",
134,2020-06-22 05:01:44+00:00,nytimes,"Days after the only black driver in NASCAR’s top tier, Bubba Wallace, sported a “Black Lives Matter” message and celebrated the organization banning the Confederate flag, a noose was found in his garage stall ",
135,2020-06-21 22:40:04+00:00,nytimes,"Many travel companies joined the corporate rush to post in support of Black Lives Matter on social media. But some black travel influencers, writers, photographers, publicists and organizations said the statements are just lip service. ",
136,2020-06-20 23:19:46+00:00,nytimes,"Several people were injured on Saturday in a stabbing attack at a park in southern England where a Black Lives Matter protest had been held earlier that day, according to the police. Officials arrested a man at the scene but have not indicated a motive. ",
137,2020-06-20 03:15:04+00:00,nytimes,"Vice President Mike Pence twice refused to say that “black lives matter” during a TV interview on Friday, insisting instead that “all lives matter in a very real sense"" ",
138,2020-06-20 00:30:00+00:00,nytimes,"Thousands of supporters of Black Lives Matter joined the families of black Americans killed by the police to campaign for justice on Juneteenth, a holiday that commemorates the end of slavery https://nyti.ms/30YOZWT",
139,2020-06-20 00:05:07+00:00,nytimes,"Homeland Security officials used planes, helicopters and drones to record recent Black Lives Matter protests in 15 American cities. They logged at least 270 hours of surveillance — far more than previously known. ",
140,2020-06-19 15:43:13+00:00,nytimes,"The 93-year-old activist Opal Lee campaigned for years to have Juneteenth recognized as a U.S. holiday. As Black Lives Matter protests continue and many companies have made June 19 a paid day off, her vision is closer than ever to its realization. ",
141,2020-06-17 10:40:02+00:00,nytimes,"As the Black Lives Matter movement has grown following outrage over the killing of George Floyd, high school students have leveraged every social media platform to call out their peers for racist behavior ",
142,2020-06-15 09:20:06+00:00,nytimes,"The slave trader Edward Colston's money built much of the British city of Bristol. When Black Lives Matter protesters tore down his statue there, it reopened a painful reckoning with Colston's and Bristol's racist past. ",
143,2020-06-13 20:00:08+00:00,nytimes,"Dashinque Hall, a tattoo artist in Minneapolis, has been offering discounted tattoos with movement-related slogans like “I can’t breathe” and “Black Lives Matter,"" and plans to donate the proceeds to Gianna Floyd, George Floyd's daughter ",
144,2020-06-12 21:20:05+00:00,nytimes,"Starbucks said on Friday that employees would be allowed to wear Black Lives Matter shirts and pins, a sudden reversal of a company policy that had banned the phrase ",
145,2020-06-12 17:08:25+00:00,nytimes,"In Opinion @fmanjoo is talking about his column, “Black Lives Matter Is Winning” https://nyti.ms/2zqnKck",
146,2020-06-12 15:10:07+00:00,nytimes,"“For someone who had seemed so averse to activism as the world has roiled from inequality for years, it felt like a desperate grasp for relevance,” says @giniaNYT about Anna Wintour’s essay on Black Lives Matter and Joe Biden’s potential running mate ",
147,2020-06-12 13:00:05+00:00,nytimes,"Disney, Papa John’s, Poshmark and T-Mobile have distanced themselves from “Tucker Carlson Tonight” after the host’s comments about Black Lives Matter protests ",
148,2020-06-11 18:00:04+00:00,nytimes,How public opinion has moved on Black Lives Matter ,
149,2020-06-11 16:10:08+00:00,nytimes,"American voters' support for the Black Lives Matter movement has increased in the last 2 weeks almost as much as it had in 2 years, according to new data from an online survey research firm https://nyti.ms/2MPl774",
150,2020-06-10 16:20:03+00:00,nytimes,"American voters' support for the Black Lives Matter movement has increased in the last 2 weeks almost as much as it had in 2 years, according to new data from an online survey research firm ",
151,2020-06-10 15:40:07+00:00,nytimes,The captains of England’s leading soccer clubs have told the Premier League that players intend to show their support for the Black Lives Matter movement when the competition resumes next week ,
152,2020-06-10 12:40:07+00:00,nytimes,"As several white men gathered near a Black Lives Matter protest in New Jersey, one man yelled while kneeling on the neck of another who was facedown on the ground. The ugly display drew a fierce condemnation. ",
153,2020-06-10 09:00:02+00:00,nytimes,"“If you are boycotting teas that stand against racism, you’re going to have to find two new tea brands now,” PG Tips posted on Twitter, also using the Black Lives Matter hashtag and adding a “solidaritea” hashtag for good measure ",
154,2020-06-09 18:00:09+00:00,nytimes,"First there was Brianna Noble, who rode through Oakland with her horse wearing a Black Lives Matter sign over his right side. She drew gasps from the protesters surrounding her — and galvanized hundreds of other black cowboys and cowgirls across the U.S. ",
155,2020-06-09 11:00:20+00:00,nytimes,"When BTS, one of the most popular music groups in the world, gave $1 million to Black Lives Matter, their ARMY followed their lead. Just a day later, fans had raised over $1 million for over a dozen civil rights and advocacy organizations. ",
156,2020-06-08 17:50:08+00:00,nytimes,"Fans of the K-pop boy band BTS have raised more than $1 million for Black Lives Matter, the Movement for Black Lives and more than a dozen other civil rights and advocacy organizations, a fan group said on Sunday https://nyti.ms/3f4BCs4",
157,2020-06-06 20:20:04+00:00,nytimes,"In Opinion Jenna Wortham writes, “This is the biggest collective demonstration of civil unrest around state violence in our generation’s memory. The unifying theme, for the first time in America’s history, is at last: Black Lives Matter.” ",
158,2020-06-05 17:30:06+00:00,nytimes,"This is the new 2-block-long mural on the streets leading to the White House, painted by the city of Washington, D.C. It reads: “Black Lives Matter."" https://nyti.ms/3cDpaOm",
159,2020-06-02 23:32:34+00:00,nytimes,"Hundreds of protesters in New York's Times Square, including more than 100 medical workers who are used to being applauded at 7 p.m. each night, cheered Tuesday for Black Lives Matter protesters and the victims of police violence https://nyti.ms/2BsuhUG",
160,2020-06-02 18:40:01+00:00,nytimes,"Jamila Thomas and Brianna Agyemang proposed that the music industry hold a day of reflection after the death of George Floyd. It's morphed into something broader on social media, leading some to complain that Black Lives Matter posts were being silenced. ",
161,2020-06-01 10:40:07+00:00,nytimes,"Around the world, the killing of George Floyd in police custody is setting off mass protests against police brutality. In London, protesters defied stay-home restrictions, chanting ""I can’t breathe,"" ""black lives matter"" and ""no justice, no peace."" ",
162,2020-07-30 00:28:08+00:00,BBCNews,Black Lives Matter: Can you answer these seven questions about statues and the protests? ,
